configuration,transit_window,center_time,time,phase_days,normalized_flux,injected_flux,in_transit,gp_background,gp_background_std,gp_residual
fixed_l_over_duration_1,1,489.51122690278135,489.73335678678995,0.22212988400860922,-0.00021464684588956562,-0.00021464684588956562,False,-0.0001272574284621725,5.5367142720552485e-05,-8.73894174273931e-05
fixed_l_over_duration_1,1,489.51122690278135,489.7537910065221,0.24256410374073312,-0.00020252374612161894,-0.00020252374612161894,False,-0.00012966075794598094,5.4618127578065535e-05,-7.2862988175638e-05
fixed_l_over_duration_1,1,489.51122690278135,489.7742251262025,0.26299822342116386,,,False,-0.00013284347394189785,5.350810724204509e-05,
fixed_l_over_duration_1,1,489.51122690278135,489.79465944594267,0.28343254316132516,-0.00020444984608480876,-0.00020444984608480876,False,-0.0001366284556532186,5.226246409449491e-05,-6.782139043159016e-05
fixed_l_over_duration_1,1,489.51122690278135,489.8150936655584,0.3038667627770337,-0.00014723334718047543,-0.00014723334718047543,False,-0.00014081410878640378,5.110988192052828e-05,-6.4192383940716484e-06
fixed_l_over_duration_1,1,489.51122690278135,489.83552788523957,0.3243009824582259,-0.0001719327467074594,-0.0001719327467074594,False,-0.00014518143090563266,5.021519193271596e-05,-2.6751315801826735e-05
fixed_l_over_duration_1,1,489.51122690278135,489.85596210486256,0.34473520208121045,-0.0002590604450389833,-0.0002590604450389833,False,-0.0001495029818626288,4.964163755072178e-05,-0.00010955746317635448
fixed_l_over_duration_5,1,489.51122690278135,489.1816327449269,-0.32959415785444435,-0.0004176804420014113,-0.0004176804420014113,False,-0.00022522849404207727,2.6790959668343516e-05,-0.00019245194795933403
fixed_l_over_duration_5,1,489.51122690278135,489.2020668653058,-0.3091600374755217,-0.0004173405420079268,-0.0004173405420079268,False,-0.00022335457387039683,2.6795640649320015e-05,-0.00019398596813752998
fixed_l_over_duration_5,1,489.51122690278135,489.2225011856208,-0.2887257171605597,-0.00016332194687240786,-0.00016332194687240786,False,-0.00022144648079146985,2.6800062354685117e-05,5.8124533919061986e-05
fixed_l_over_duration_5,1,489.51122690278135,489.24293540594226,-0.26829149683908327,-0.00027956774464632517,-0.00027956774464632517,False,-0.00021950960098453913,2.680420198506258e-05,-6.005814366178604e-05
fixed_l_over_duration_5,1,489.51122690278135,489.2633697262572,-0.24785717652412131,-0.00024002604540351857,-0.00024002604540351857,False,-0.00021754920949189772,2.680803426361681e-05,-2.2476835911620853e-05
fixed_l_over_duration_5,1,489.51122690278135,489.28380384651973,-0.22742305626161397,-0.0002550949451148865,-0.0002550949451148865,False,-0.00021557054750245293,2.68115316869779e-05,-3.9524397612433575e-05
fixed_l_over_duration_5,1,489.51122690278135,489.304238066783,-0.20698883599834517,-0.000243764945331848,-0.000243764945331848,False,-0.00021357869994548815,2.6814665258538505e-05,-3.0186245386359858e-05
fixed_l_over_duration_5,1,489.51122690278135,489.32467238703975,-0.18655451574159088,-0.00024875014523639827,-0.00024875014523639827,False,-0.00021157866598469534,2.6817404919106482e-05,-3.7171479251702926e-05
fixed_l_over_duration_5,1,489.51122690278135,489.34510650724405,-0.1661203955372912,-0.00020762224602399737,-0.00020762224602399737,False,-0.00020957534426605516,2.6819720224608284e-05,1.9530982420577856e-06
fixed_l_over_duration_5,1,489.51122690278135,489.3655407273909,-0.1456861753904377,-0.0001408885473019872,-0.0001408885473019872,False,-0.00020757342968211998,2.6821581138213638e-05,6.668488238013279e-05
