target_id,quarter,selection_order,population_cohort,selection_group
9164867,5,445,population_expansion_900,random_clean_q5_population_expansion
7215184,5,446,population_expansion_900,random_clean_q5_population_expansion
11468538,5,447,population_expansion_900,random_clean_q5_population_expansion
5113250,5,448,population_expansion_900,random_clean_q5_population_expansion
7900958,5,449,population_expansion_900,random_clean_q5_population_expansion
8947254,5,450,population_expansion_900,random_clean_q5_population_expansion
6292831,5,455,population_expansion_900,random_clean_q5_population_expansion
7950316,5,456,population_expansion_900,random_clean_q5_population_expansion
4458136,5,457,population_expansion_900,random_clean_q5_population_expansion
4074524,5,458,population_expansion_900,random_clean_q5_population_expansion
4930269,5,460,population_expansion_900,random_clean_q5_population_expansion
6441500,5,461,population_expansion_900,random_clean_q5_population_expansion
10452238,5,462,population_expansion_900,random_clean_q5_population_expansion
12004643,5,464,population_expansion_900,random_clean_q5_population_expansion
2162673,5,465,population_expansion_900,random_clean_q5_population_expansion
7904838,5,466,population_expansion_900,random_clean_q5_population_expansion
6292015,5,467,population_expansion_900,random_clean_q5_population_expansion
10057359,5,468,population_expansion_900,random_clean_q5_population_expansion
2554695,5,469,population_expansion_900,random_clean_q5_population_expansion
9292585,5,470,population_expansion_900,random_clean_q5_population_expansion
4644042,5,471,population_expansion_900,random_clean_q5_population_expansion
3743626,5,472,population_expansion_900,random_clean_q5_population_expansion
9217077,5,473,population_expansion_900,random_clean_q5_population_expansion
11069476,5,474,population_expansion_900,random_clean_q5_population_expansion
2572344,5,475,population_expansion_900,random_clean_q5_population_expansion
3965225,5,476,population_expansion_900,random_clean_q5_population_expansion
4647313,5,478,population_expansion_900,random_clean_q5_population_expansion
8007287,5,479,population_expansion_900,random_clean_q5_population_expansion
10545904,5,480,population_expansion_900,random_clean_q5_population_expansion
4567525,5,481,population_expansion_900,random_clean_q5_population_expansion
12691032,5,484,population_expansion_900,random_clean_q5_population_expansion
7742465,5,486,population_expansion_900,random_clean_q5_population_expansion
8212005,5,487,population_expansion_900,random_clean_q5_population_expansion
7120312,5,488,population_expansion_900,random_clean_q5_population_expansion
5544584,5,489,population_expansion_900,random_clean_q5_population_expansion
9895266,5,490,population_expansion_900,random_clean_q5_population_expansion
7954192,5,492,population_expansion_900,random_clean_q5_population_expansion
3836692,5,493,population_expansion_900,random_clean_q5_population_expansion
7204907,5,494,population_expansion_900,random_clean_q5_population_expansion
6372566,5,495,population_expansion_900,random_clean_q5_population_expansion
7037934,5,496,population_expansion_900,random_clean_q5_population_expansion
9160602,5,498,population_expansion_900,random_clean_q5_population_expansion
3958018,5,499,population_expansion_900,random_clean_q5_population_expansion
11046355,5,500,population_expansion_900,random_clean_q5_population_expansion
6368662,5,502,population_expansion_900,random_clean_q5_population_expansion
10414783,5,503,population_expansion_900,random_clean_q5_population_expansion
11231004,5,504,population_expansion_900,random_clean_q5_population_expansion
8611394,5,506,population_expansion_900,random_clean_q5_population_expansion
9029259,5,507,population_expansion_900,random_clean_q5_population_expansion
7800261,5,508,population_expansion_900,random_clean_q5_population_expansion
9150010,5,509,population_expansion_900,random_clean_q5_population_expansion
9992416,5,510,population_expansion_900,random_clean_q5_population_expansion
2021060,5,511,population_expansion_900,random_clean_q5_population_expansion
8256511,5,513,population_expansion_900,random_clean_q5_population_expansion
5482302,5,515,population_expansion_900,random_clean_q5_population_expansion
3230918,5,516,population_expansion_900,random_clean_q5_population_expansion
9160945,5,517,population_expansion_900,random_clean_q5_population_expansion
11703357,5,520,population_expansion_900,random_clean_q5_population_expansion
4679444,5,522,population_expansion_900,random_clean_q5_population_expansion
11133467,5,523,population_expansion_900,random_clean_q5_population_expansion
7979335,5,525,population_expansion_900,random_clean_q5_population_expansion
3542116,5,526,population_expansion_900,random_clean_q5_population_expansion
6128793,5,527,population_expansion_900,random_clean_q5_population_expansion
2445101,5,528,population_expansion_900,random_clean_q5_population_expansion
5715469,5,529,population_expansion_900,random_clean_q5_population_expansion
10616391,5,531,population_expansion_900,random_clean_q5_population_expansion
10131101,5,532,population_expansion_900,random_clean_q5_population_expansion
11494811,5,533,population_expansion_900,random_clean_q5_population_expansion
3123875,5,535,population_expansion_900,random_clean_q5_population_expansion
9541605,5,536,population_expansion_900,random_clean_q5_population_expansion
2584067,5,537,population_expansion_900,random_clean_q5_population_expansion
9242927,5,538,population_expansion_900,random_clean_q5_population_expansion
8119959,5,539,population_expansion_900,random_clean_q5_population_expansion
7887160,5,540,population_expansion_900,random_clean_q5_population_expansion
9172166,5,541,population_expansion_900,random_clean_q5_population_expansion
7960534,5,542,population_expansion_900,random_clean_q5_population_expansion
6449433,5,543,population_expansion_900,random_clean_q5_population_expansion
8460025,5,544,population_expansion_900,random_clean_q5_population_expansion
10411608,5,545,population_expansion_900,random_clean_q5_population_expansion
10191248,5,546,population_expansion_900,random_clean_q5_population_expansion
9521020,5,547,population_expansion_900,random_clean_q5_population_expansion
4578048,5,548,population_expansion_900,random_clean_q5_population_expansion
5376533,5,550,population_expansion_900,random_clean_q5_population_expansion
7133395,5,551,population_expansion_900,random_clean_q5_population_expansion
7304157,5,552,population_expansion_900,random_clean_q5_population_expansion
7543287,5,553,population_expansion_900,random_clean_q5_population_expansion
10081452,5,555,population_expansion_900,random_clean_q5_population_expansion
3454650,5,559,population_expansion_900,random_clean_q5_population_expansion
10397970,5,561,population_expansion_900,random_clean_q5_population_expansion
2583355,5,562,population_expansion_900,random_clean_q5_population_expansion
8891009,5,564,population_expansion_900,random_clean_q5_population_expansion
4861030,5,565,population_expansion_900,random_clean_q5_population_expansion
11909366,5,566,population_expansion_900,random_clean_q5_population_expansion
6370668,5,568,population_expansion_900,random_clean_q5_population_expansion
5000454,5,569,population_expansion_900,random_clean_q5_population_expansion
7958922,5,570,population_expansion_900,random_clean_q5_population_expansion
5263060,5,571,population_expansion_900,random_clean_q5_population_expansion
11285188,5,572,population_expansion_900,random_clean_q5_population_expansion
5215458,5,573,population_expansion_900,random_clean_q5_population_expansion
1995140,5,574,population_expansion_900,random_clean_q5_population_expansion
7108993,5,575,population_expansion_900,random_clean_q5_population_expansion
7034771,5,576,population_expansion_900,random_clean_q5_population_expansion
9657672,5,577,population_expansion_900,random_clean_q5_population_expansion
9786636,5,578,population_expansion_900,random_clean_q5_population_expansion
