trial,trial_seed,success,arima_refitted,arima_converged,max_score,best_raw_pooled_score,best_period,best_duration,best_epoch,best_valid_transit_events,best_positive_transit_events,best_positive_event_fraction,best_median_event_score,requested_period_count,evaluated_period_count,coarse_period_count,refined_period_count,error
40,9848882495461540833,True,False,False,11.70132769071057,11.380338460375633,10.819181918191818,0.0625,451.65173216114874,8,7,0.875,4.137044079493684,10000,2960,2000,960,
41,11147969031559261349,True,False,False,8.271404826152313,7.561652397385586,12.856385638563856,0.2648809523809524,452.60634098682874,5,5,1.0,3.6990846921392806,10000,2961,2000,961,
42,15890613351318163587,True,False,False,8.790272337233283,5.590514766724676,13.993299329932993,0.0625,453.3786486023272,7,5,0.7142857142857143,3.322410651549966,10000,2962,2000,962,
43,3602979946352011552,True,False,False,8.864164550534307,7.816214867476475,11.327432743274327,0.0625,452.1811652316285,7,6,0.8571428571428571,3.350339283009773,10000,2936,2000,936,
44,14402932800314139916,True,False,False,8.759276333656366,7.238612693308168,14.2999299929993,0.0625,450.98866025782013,7,7,1.0,3.310695263392624,10000,2960,2000,960,
45,13886696243105333686,True,False,False,7.885169826620795,8.099733728960441,14.530953095309531,0.0625,450.6853260219453,7,7,1.0,2.9803140581069885,10000,2961,2000,961,
46,11575176418959374051,True,False,False,10.721402334952588,10.581996795834451,14.371337133713372,0.31547619047619047,446.8273794334107,4,4,1.0,5.360701167476294,10000,2960,2000,960,
47,6440166411548435861,True,False,False,7.983383878681166,9.52374528528483,14.47074707470747,0.2648809523809524,456.61214977989584,6,5,0.8333333333333334,3.2592028205883503,10000,2952,2000,952,
48,3998700223022895943,True,False,False,9.354782213476,5.54430647705985,7.394439443944394,0.0625,445.47280064305045,11,7,0.6363636363636364,2.8205729634172965,10000,2961,2000,961,
49,14535092767141793046,True,False,False,9.168785055405804,5.833687437993868,11.111811181118112,0.0625,444.2063337872529,7,6,0.8571428571428571,3.465475011601333,10000,2960,2000,960,
50,2857866630145188130,True,False,False,8.428575753822615,6.02829744897915,13.695069506950695,0.0625,453.5276069936451,7,6,0.8571428571428571,3.1857021930119145,10000,2960,2000,960,
51,6626744193994990214,True,False,False,7.567502114168264,5.261249203455899,14.215921592159216,0.4166666666666667,455.7397843675628,5,4,0.8,3.3842898294307227,10000,2960,2000,960,
52,12282761389533731557,True,False,False,8.793782421132349,5.2851732730752925,12.359335933593359,0.21428571428571427,450.5334746263585,7,6,0.8571428571428571,3.3237373385610947,10000,2961,2000,961,
53,15771636255349277588,True,False,False,7.777247599655232,4.556769038895012,9.364436443644363,0.0625,448.8891897040898,9,7,0.7777777777777778,2.592415866551744,10000,2961,2000,961,
54,15937575736191148391,True,False,False,8.549792913594588,7.2543773731282615,11.12021202120212,0.1636904761904762,453.37435400314007,7,6,0.8571428571428571,3.231517972924804,10000,2961,2000,961,
55,10325427062918895968,True,False,False,9.00558321012024,7.543666969370097,8.465546554655464,0.0625,450.4028271351704,9,7,0.7777777777777778,3.0018610700400803,10000,2960,2000,960,
56,6385026544703117126,True,False,False,10.423906273958774,7.293644996578787,11.907090709070907,0.0625,444.6147379495148,7,6,0.8571428571428571,3.9398662415344057,10000,2954,2000,954,
57,7089533376525680353,True,False,False,8.601098889435844,5.926645678732191,11.027802780278028,0.0625,453.78405032592747,7,5,0.7142857142857143,3.2509098090458686,10000,2961,2000,961,
58,9784556000975385946,True,False,False,9.578779851009102,5.940900741188135,13.084608460846084,0.2648809523809524,452.13842982183013,5,3,0.6,4.283760577672332,10000,2961,2000,961,
59,2258503542347442412,True,False,False,8.553348551078185,6.7413045294354275,13.74127412741274,0.0625,455.39226667500947,7,5,0.7142857142857143,3.2328618775725038,10000,2961,2000,961,
60,9756491276672904727,True,False,False,8.520173494382192,6.675906707230522,11.802080208020802,0.0625,454.3134216748912,8,6,0.75,3.0123362273817653,10000,2961,2000,961,
61,16986779296799758543,True,False,False,8.136618020881222,5.962918916322182,13.087408740874087,0.0625,446.8449876204671,7,6,0.8571428571428571,3.0753525423397527,10000,2961,2000,961,
62,560145743095768341,True,False,False,9.406494166677026,7.197889161546439,12.294929492949295,0.0625,453.6623172663781,7,5,0.7142857142857143,3.555320610572452,10000,2961,2000,961,
63,7707745130420097610,True,False,False,8.562606840408883,5.683584836800321,10.518151815181518,0.0625,452.13060931749726,9,6,0.6666666666666666,2.854202280136294,10000,2961,2000,961,
64,8258576059954637546,True,False,False,8.174350776620816,4.994963021383154,10.987198719871987,0.0625,446.187176762418,9,6,0.6666666666666666,2.7247835922069386,10000,2960,2000,960,
65,4816009779697088731,True,False,False,14.162147350862034,8.657552035525041,11.169216921692168,0.31547619047619047,448.6410170975456,5,4,0.8,6.333504836779214,10000,2949,2000,949,
66,17128363077708656523,True,False,False,9.609758665541653,6.043819948598104,14.218721872187219,0.0625,452.76626463771623,7,6,0.8571428571428571,3.6321473697673055,10000,2957,2000,957,
67,11838686175724677370,True,False,False,8.84309781827815,5.594799833154281,13.9008900890089,0.0625,452.56782572688803,7,6,0.8571428571428571,3.3423768066545474,10000,2961,2000,961,
68,2280889229960175214,True,False,False,8.222196262560189,6.6992314411511344,14.865586558655865,0.31547619047619047,447.07351807831924,7,5,0.7142857142857143,3.1076980773569995,10000,2961,2000,961,
69,15497647443497559464,True,False,False,10.752952753308923,6.949838388590841,14.880988098809881,0.2648809523809524,444.67592680040843,6,4,0.6666666666666666,4.389874578977057,10000,2961,2000,961,
70,6665822427193663627,True,False,False,9.011861206054814,5.690595276480671,10.756175617561755,0.0625,449.72828532434636,9,7,0.7777777777777778,3.0039537353516046,10000,2960,2000,960,
