target_id,quarter,sample_stratum,case_index,detector,exact_recovered_branches_all,exact_recovered_branches_clean,harmonic_recovered_branches_clean,lowest_period_error_branch_clean,lowest_period_error_clean,injected_period_days,requested_duration_hours,requested_depth,phase_fraction
1431344,5,gap_heavy,3,tls,kalman|gp,kalman|gp,kalman|gp,gp,0.0012585170668174,5.0,8.0,0.0002,0.45
1431344,5,gap_heavy,3,trapezoid,kalman|gp,kalman|gp,kalman|gp,kalman|gp,0.0010008340283569,5.0,8.0,0.0002,0.45
1431344,5,gap_heavy,4,bls,,,,gp,0.1503753127606337,10.0,4.0,0.0002,0.15
1431344,5,gap_heavy,4,tls,,,,kalman|gp,0.1494518797566801,10.0,4.0,0.0002,0.15
1431344,5,gap_heavy,4,trapezoid,,,,gp,0.1503753127606337,10.0,4.0,0.0002,0.15
1431344,5,gap_heavy,5,bls,raw|arima|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0009174311926605,10.0,8.0,0.0005,0.75
1431344,5,gap_heavy,5,tls,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0002331268125642,10.0,8.0,0.0005,0.75
1431344,5,gap_heavy,5,trapezoid,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0009174311926605,10.0,8.0,0.0005,0.75
2715763,5,quiet_low_scatter,0,bls,,,raw|arima|kalman,raw|arima|kalman,1.000417014178482,2.0,2.0,0.0002,0.15
2715763,5,quiet_low_scatter,0,tls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,arima,0.0001068664838771,2.0,2.0,0.0002,0.15
2715763,5,quiet_low_scatter,0,trapezoid,,,raw|arima|kalman|gp,gp,0.5,2.0,2.0,0.0002,0.15
2715763,5,quiet_low_scatter,1,bls,raw|kalman,raw|kalman,raw|arima|kalman|gp,raw|kalman,0.0020850708924102,2.0,4.0,0.0005,0.45
2715763,5,quiet_low_scatter,1,tls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,arima,0.0001068664838771,2.0,4.0,0.0005,0.45
2715763,5,quiet_low_scatter,1,trapezoid,raw|kalman,raw|kalman,raw|arima|kalman|gp,raw|kalman,0.0020850708924102,2.0,4.0,0.0005,0.45
2715763,5,quiet_low_scatter,2,bls,raw|kalman|gp,raw|kalman|gp,raw|arima|kalman|gp,raw|kalman|gp,0.0010008340283569,5.0,2.0,0.0005,0.75
2715763,5,quiet_low_scatter,2,tls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|kalman|gp,0.0001102354151955,5.0,2.0,0.0005,0.75
2715763,5,quiet_low_scatter,2,trapezoid,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0010008340283569,5.0,2.0,0.0005,0.75
2715763,5,quiet_low_scatter,3,bls,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,kalman,0.0010008340283569,5.0,8.0,0.0002,0.45
2715763,5,quiet_low_scatter,3,tls,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0001102354151955,5.0,8.0,0.0002,0.45
2715763,5,quiet_low_scatter,3,trapezoid,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman,0.0010008340283569,5.0,8.0,0.0002,0.45
2715763,5,quiet_low_scatter,4,bls,raw|kalman,raw|kalman,raw|kalman,raw|kalman,0.0002502085070892,10.0,4.0,0.0002,0.15
2715763,5,quiet_low_scatter,4,tls,raw|kalman,raw|kalman,raw|kalman,raw|kalman,0.0002345816009562,10.0,4.0,0.0002,0.15
2715763,5,quiet_low_scatter,4,trapezoid,raw|kalman,raw|kalman,raw|kalman,raw|kalman,0.0002502085070892,10.0,4.0,0.0002,0.15
2715763,5,quiet_low_scatter,5,bls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,0.0002502085070892,10.0,8.0,0.0005,0.75
2715763,5,quiet_low_scatter,5,tls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|kalman|gp,0.0002345816009562,10.0,8.0,0.0005,0.75
2715763,5,quiet_low_scatter,5,trapezoid,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,0.0002502085070892,10.0,8.0,0.0005,0.75
2996004,5,high_scatter,0,bls,,,,gp,2.541701417848207,2.0,2.0,0.0002,0.15
2996004,5,high_scatter,0,tls,,,,kalman,0.339029065006138,2.0,2.0,0.0002,0.15
2996004,5,high_scatter,0,trapezoid,,,,gp,2.541701417848207,2.0,2.0,0.0002,0.15
2996004,5,high_scatter,1,bls,,,,gp,2.500834028356964,2.0,4.0,0.0005,0.45
2996004,5,high_scatter,1,tls,kalman|gp,kalman|gp,kalman|gp,kalman|gp,0.0001126904388462,2.0,4.0,0.0005,0.45
2996004,5,high_scatter,1,trapezoid,,,,gp,2.500834028356964,2.0,4.0,0.0005,0.45
2996004,5,high_scatter,2,bls,,,,gp,0.4166805671392827,5.0,2.0,0.0005,0.75
2996004,5,high_scatter,2,tls,,,,kalman,0.4643883739975448,5.0,2.0,0.0005,0.75
2996004,5,high_scatter,2,trapezoid,,,,raw|gp,0.4190158465387822,5.0,2.0,0.0005,0.75
2996004,5,high_scatter,3,bls,,,,gp,0.4166805671392827,5.0,8.0,0.0002,0.45
2996004,5,high_scatter,3,tls,,,,kalman,0.4643883739975448,5.0,8.0,0.0002,0.45
2996004,5,high_scatter,3,trapezoid,,,,gp,0.4166805671392827,5.0,8.0,0.0002,0.45
2996004,5,high_scatter,4,bls,,,,kalman,0.2869891576313595,10.0,4.0,0.0002,0.15
2996004,5,high_scatter,4,tls,,,,gp,0.4092926068030859,10.0,4.0,0.0002,0.15
2996004,5,high_scatter,4,trapezoid,,,,kalman,0.2834862385321101,10.0,4.0,0.0002,0.15
2996004,5,high_scatter,5,bls,,,,kalman,0.2869891576313595,10.0,8.0,0.0005,0.75
2996004,5,high_scatter,5,tls,,,,gp,0.2909147643272081,10.0,8.0,0.0005,0.75
2996004,5,high_scatter,5,trapezoid,,,,kalman,0.2834862385321101,10.0,8.0,0.0005,0.75
